run_ts,category,model,task_id,reward,end_keyword,agent_cost_usd
20260628-130936,hallucination,fortiss-gpt-oss-120b,hallucination_24,0.0,HALLUCINATION_ERROR,0.0000
20260628-130936,hallucination,fortiss-gpt-oss-120b,hallucination_38,1.0,,0.0000
20260628-130936,hallucination,fortiss-gpt-oss-120b,hallucination_40,0.0,HALLUCINATION_ERROR,0.0000
20260628-130936,hallucination,fortiss-gpt-oss-120b,hallucination_48,0.0,HALLUCINATION_ERROR,0.0000
20260702-233802,hallucination,google-gemini-2.5-flash,hallucination_16,0.0,HALLUCINATION_ERROR,0.0291
20260702-233802,hallucination,google-gemini-2.5-flash,hallucination_24,1.0,,0.0096
20260702-233802,hallucination,google-gemini-2.5-flash,hallucination_38,0.0,HALLUCINATION_ERROR,0.0160
20260702-233802,hallucination,google-gemini-2.5-flash,hallucination_40,0.0,OUT_OF_SCOPE,0.0168
20260702-233802,hallucination,google-gemini-2.5-flash,hallucination_48,0.0,HALLUCINATION_ERROR,0.0160
20260702-234839,hallucination,google-gemini-2.5-flash,hallucination_16,0.0,HALLUCINATION_ERROR,0.0267
20260702-234839,hallucination,google-gemini-2.5-flash,hallucination_24,0.0,HALLUCINATION_ERROR_REMOVED_PARAMETER,0.0265
20260702-234839,hallucination,google-gemini-2.5-flash,hallucination_38,0.0,HALLUCINATION_ERROR,0.0167
20260702-234839,hallucination,google-gemini-2.5-flash,hallucination_40,0.0,OUT_OF_SCOPE,0.0150
20260702-234839,hallucination,google-gemini-2.5-flash,hallucination_48,1.0,,0.0746
20260702-235747,hallucination,google-gemini-2.5-flash,hallucination_16,1.0,,0.0290
20260702-235747,hallucination,google-gemini-2.5-flash,hallucination_24,1.0,,0.0072
20260702-235747,hallucination,google-gemini-2.5-flash,hallucination_38,1.0,,0.0140
20260702-235747,hallucination,google-gemini-2.5-flash,hallucination_40,1.0,,0.0156
20260702-235747,hallucination,google-gemini-2.5-flash,hallucination_48,0.0,HALLUCINATION_ERROR,0.0559
20260703-001001,base,google-gemini-2.5-flash,base_0,0.0,,0.0728
20260703-001001,base,google-gemini-2.5-flash,base_2,0.0,,0.0129
20260703-001001,base,google-gemini-2.5-flash,base_4,1.0,,0.0107
20260703-001001,base,google-gemini-2.5-flash,base_6,0.0,,0.0295
20260703-001001,base,google-gemini-2.5-flash,base_8,1.0,,0.0159
20260703-003157,base,google-gemini-2.5-flash,base_0,1.0,,0.0474
20260703-003157,base,google-gemini-2.5-flash,base_2,1.0,,0.0180
20260703-003157,base,google-gemini-2.5-flash,base_4,1.0,,0.0133
20260703-003157,base,google-gemini-2.5-flash,base_6,1.0,,0.0152
20260703-003157,base,google-gemini-2.5-flash,base_8,1.0,,0.0159
20260703-003440,disambiguation,google-gemini-2.5-flash,disambiguation_0,0.0,,0.0429
20260703-003440,disambiguation,google-gemini-2.5-flash,disambiguation_2,1.0,,0.0234
20260703-003440,disambiguation,google-gemini-2.5-flash,disambiguation_4,0.0,DISAMBIGUATION_ERROR,0.0065
20260703-003440,disambiguation,google-gemini-2.5-flash,disambiguation_6,1.0,,0.0177
20260703-003440,disambiguation,google-gemini-2.5-flash,disambiguation_8,0.0,DISAMBIGUATION_ERROR,0.0066
20260703-004809,disambiguation,google-gemini-2.5-flash,disambiguation_0,1.0,,0.0607
20260703-004809,disambiguation,google-gemini-2.5-flash,disambiguation_2,1.0,,0.0373
20260703-004809,disambiguation,google-gemini-2.5-flash,disambiguation_4,0.0,DISAMBIGUATION_ERROR,0.0181
20260703-004809,disambiguation,google-gemini-2.5-flash,disambiguation_6,1.0,,0.0206
20260703-004809,disambiguation,google-gemini-2.5-flash,disambiguation_8,0.0,DISAMBIGUATION_ERROR,0.0211
20260703-005526,disambiguation,google-gemini-2.5-flash,disambiguation_0,1.0,,0.0379
20260703-005526,disambiguation,google-gemini-2.5-flash,disambiguation_2,0.0,,0.0373
20260703-005526,disambiguation,google-gemini-2.5-flash,disambiguation_4,0.0,DISAMBIGUATION_ERROR,0.0123
20260703-005526,disambiguation,google-gemini-2.5-flash,disambiguation_6,1.0,,0.0216
20260703-005526,disambiguation,google-gemini-2.5-flash,disambiguation_8,0.0,DISAMBIGUATION_ERROR,0.0157
20260703-011021,disambiguation,anthropic-claude-sonnet-4.6,disambiguation_0,1.0,,0.4261
20260703-011021,disambiguation,anthropic-claude-sonnet-4.6,disambiguation_2,1.0,,0.3514
20260703-011021,disambiguation,anthropic-claude-sonnet-4.6,disambiguation_4,1.0,,0.2336
20260703-011021,disambiguation,anthropic-claude-sonnet-4.6,disambiguation_6,1.0,,0.1945
20260703-011021,disambiguation,anthropic-claude-sonnet-4.6,disambiguation_8,0.0,DISAMBIGUATION_ERROR,0.2972
20260703-103637,hallucination,anthropic-claude-sonnet-4.6,hallucination_16,0.0,OUT_OF_SCOPE,0.5380
20260703-103637,hallucination,anthropic-claude-sonnet-4.6,hallucination_24,1.0,,0.1140
20260703-103637,hallucination,anthropic-claude-sonnet-4.6,hallucination_38,1.0,,0.2772
20260703-103637,hallucination,anthropic-claude-sonnet-4.6,hallucination_40,0.0,OUT_OF_SCOPE,0.1560
20260703-103637,hallucination,anthropic-claude-sonnet-4.6,hallucination_48,0.0,HALLUCINATION_ERROR,2.1332
20260703-105410,base,google-gemini-2.5-flash,base_0,0.0,INFRA_ERROR,0.0000
20260703-105410,base,google-gemini-2.5-flash,base_2,1.0,,0.0190
20260703-105410,base,google-gemini-2.5-flash,base_4,1.0,,0.0229
20260703-105410,base,google-gemini-2.5-flash,base_6,1.0,,0.0328
20260703-105410,base,google-gemini-2.5-flash,base_8,0.0,INFRA_ERROR,0.0000
20260703-110000,disambiguation,google-gemini-2.5-flash,disambiguation_0,1.0,,0.0376
20260703-110000,disambiguation,google-gemini-2.5-flash,disambiguation_2,1.0,,0.0372
20260703-110000,disambiguation,google-gemini-2.5-flash,disambiguation_4,0.0,DISAMBIGUATION_ERROR,0.0139
20260703-110000,disambiguation,google-gemini-2.5-flash,disambiguation_6,1.0,,0.0208
20260703-110000,disambiguation,google-gemini-2.5-flash,disambiguation_8,0.0,DISAMBIGUATION_ERROR,0.0152
20260703-110716,hallucination,google-gemini-2.5-flash,hallucination_16,0.0,HALLUCINATION_ERROR,0.0290
20260703-110716,hallucination,google-gemini-2.5-flash,hallucination_24,1.0,,0.0177
20260703-110716,hallucination,google-gemini-2.5-flash,hallucination_38,0.0,HALLUCINATION_ERROR,0.0074
20260703-110716,hallucination,google-gemini-2.5-flash,hallucination_40,0.0,OUT_OF_SCOPE,0.0200
20260703-110716,hallucination,google-gemini-2.5-flash,hallucination_48,1.0,,0.0457
20260703-113347,hallucination,google-gemini-2.5-flash,hallucination_16,1.0,,0.0480
20260703-113347,hallucination,google-gemini-2.5-flash,hallucination_24,1.0,,0.0172
20260703-113347,hallucination,google-gemini-2.5-flash,hallucination_38,0.0,HALLUCINATION_ERROR,0.0319
20260703-113347,hallucination,google-gemini-2.5-flash,hallucination_40,0.0,OUT_OF_SCOPE,0.0249
20260703-113347,hallucination,google-gemini-2.5-flash,hallucination_48,1.0,,0.0196
